number_of_missed_payments,number_of_bank_visits,score,income,use_online_streaming,number_of_bank_accounts,state,bad_customer
0.0,16.0,641.0,26000.0,1.0,3.0,Karnataka,1.0
2.0,13.0,689.0,14000.0,0.0,3.0,Maharashtra,0.0
2.0,10.0,730.0,18000.0,0.0,2.0,Rajasthan,0.0
3.0,5.0,724.0,14000.0,0.0,3.0,Telangana,0.0
0.0,8.0,759.0,27878.0,0.0,1.0,Karnataka,0.0
12.0,20.0,763.0,17000.0,0.0,1.0,Gujarat,0.0
4.0,18.0,693.0,30000.0,0.0,1.0,Maharashtra,1.0
0.0,9.0,724.0,27000.0,0.0,3.0,Karnataka,0.0
0.0,5.0,678.0,11607.0,0.0,1.0,Tamil Nadu,0.0
0.0,6.0,746.0,30000.0,0.0,1.0,Tamil Nadu,0.0
0.0,,,12077.0,0.0,0.0,Telangana,0.0
1.0,10.0,699.0,19500.0,0.0,2.0,Karnataka,0.0
0.0,,,,0.0,2.0,Tamil Nadu,0.0
1.0,,,37000.0,0.0,3.0,Maharashtra,0.0
8.0,,,15000.0,0.0,1.0,Delhi,0.0
12.0,,,30000.0,0.0,4.0,Maharashtra,1.0
14.0,18.0,687.0,24000.0,1.0,3.0,Tamil Nadu,1.0
19.0,18.0,683.0,19792.0,0.0,1.0,Karnataka,0.0
0.0,29.0,734.0,30000.0,0.0,2.0,Karnataka,0.0
11.0,12.0,737.0,35000.0,1.0,2.0,Karnataka,0.0
0.0,,751.0,,0.0,4.0,Punjab,0.0
0.0,,,10000.0,1.0,2.0,Uttar Pradesh,0.0
,13.0,771.0,25000.0,0.0,,Telangana,0.0
0.0,17.0,729.0,18440.0,0.0,0.0,Tamil Nadu,0.0
0.0,,,58000.0,0.0,0.0,Maharashtra,1.0
0.0,9.0,742.0,28000.0,0.0,1.0,Telangana,1.0
1.0,7.0,746.0,20000.0,0.0,2.0,Maharashtra,1.0
3.0,29.0,729.0,45000.0,0.0,0.0,Maharashtra,0.0
2.0,15.0,734.0,25000.0,0.0,1.0,Maharashtra,1.0
0.0,10.0,779.0,,0.0,2.0,Tamil Nadu,0.0
10.0,11.0,738.0,16800.0,1.0,2.0,Maharashtra,1.0
0.0,8.0,738.0,17383.0,0.0,2.0,Telangana,0.0
53.0,,,17205.0,0.0,2.0,Delhi,1.0
1.0,,,29114.0,0.0,1.0,Tamil Nadu,0.0
1.0,,649.0,,0.0,4.0,Telangana,1.0
